date,BRVM-COMPOSITE,BRVM-FINANCES,CAC_40,S&P_500
2021-01-11,135.56,55.66,5662.43017578125,3799.610107421875
2021-01-12,135.06,55.07,5650.97021484375,3801.18994140625
2021-01-13,134.77,54.73,5662.669921875,3809.840087890625
2021-01-14,133.24,54.53,5681.14013671875,3795.5400390625
2021-01-15,132.23,53.91,5611.68994140625,3768.25
2021-01-18,131.85,53.92,5617.27001953125,
2021-01-19,130.87,53.93,5598.60986328125,3798.909912109375
2021-01-20,131.16,53.84,5628.43994140625,3851.85009765625
2021-01-21,131.62,54.2,5590.7900390625,3853.070068359375
2021-01-22,132.1,54.54,5559.56982421875,3841.469970703125
2021-01-25,132.84,55.03,5472.35986328125,3855.360107421875
2021-01-26,132.98,55.12,5523.52001953125,3849.6201171875
2021-01-27,133.88,55.56,5459.6201171875,3750.77001953125
2021-01-28,134.28,55.55,5510.52001953125,3787.3798828125
2021-01-29,133.82,56.48,5399.2099609375,3714.239990234375
2021-02-01,134.94,56.54,5461.68017578125,3773.860107421875
2021-02-02,135.15,56.52,5563.10986328125,3826.31005859375
2021-02-03,137.2,57.4,5563.0498046875,3830.169921875
2021-02-04,136.75,57.45,5608.5400390625,3871.739990234375
2021-02-05,136.15,57.39,5659.259765625,3886.830078125
2021-02-08,135.75,57.11,5686.02978515625,3915.590087890625
2021-02-09,134.62,56.34,5691.5400390625,3911.22998046875
2021-02-10,133.46,55.64,5670.7998046875,3909.8798828125
2021-02-11,133.58,54.9,5669.81982421875,3916.3798828125
2021-02-12,133.07,55.15,5703.669921875,3934.830078125
2021-02-15,133.35,55.64,5786.25,
2021-02-16,132.78,55.29,5786.52978515625,3932.590087890625
2021-02-17,132.84,54.98,5765.83984375,3931.330078125
2021-02-18,132.79,55.02,5728.330078125,3913.969970703125
2021-02-19,132.67,54.88,5773.5498046875,3906.7099609375
2021-02-22,131.78,54.02,5767.43994140625,3876.5
2021-02-23,132.95,54.58,5779.83984375,3881.3701171875
2021-02-24,134.03,54.83,5797.97998046875,3925.429931640625
2021-02-25,135.07,54.9,5783.89013671875,3829.340087890625
2021-02-26,138.68,54.97,5703.22021484375,3811.14990234375
2021-03-01,140.42,55.85,5792.7900390625,3901.820068359375
2021-03-02,139.36,54.88,5809.72998046875,3870.2900390625
2021-03-03,139.55,54.84,5830.06005859375,3819.719970703125
2021-03-04,139.54,54.96,5830.64990234375,3768.469970703125
2021-03-05,139.56,55.12,5782.64990234375,3841.93994140625
2021-03-08,139.6,56.01,5902.990234375,3821.35009765625
2021-03-09,139.73,56.08,5924.97021484375,3875.43994140625
2021-03-10,138.98,55.85,5990.5498046875,3898.81005859375
2021-03-11,139.65,56.16,6033.759765625,3939.340087890625
2021-03-12,138.33,55.67,6046.5498046875,3943.340087890625
2021-03-15,138.74,55.87,6035.97021484375,3968.93994140625
2021-03-16,138.66,55.63,6055.43017578125,3962.7099609375
2021-03-17,139.24,55.86,6054.81982421875,3974.1201171875
2021-03-18,139.57,55.8,6062.7900390625,3915.4599609375
2021-03-19,141.68,55.94,5997.9599609375,3913.10009765625
2021-03-22,141.71,56.33,5968.47998046875,3940.590087890625
2021-03-23,140.43,56.25,5945.2998046875,3910.52001953125
2021-03-24,140.37,56.11,5947.2900390625,3889.139892578125
2021-03-25,139.62,56.18,5952.41015625,3909.52001953125
2021-03-26,139.61,55.55,5988.81005859375,3974.5400390625
2021-03-29,139.95,55.79,6015.509765625,3971.090087890625
2021-03-30,140.06,56.07,6088.0400390625,3958.550048828125
2021-03-31,140.81,55.67,6067.22998046875,3972.889892578125
2021-04-01,141.24,56.17,6102.9599609375,4019.8701171875
2021-04-02,141.21,56.25,,
2021-04-05,,,,4077.909912109375
2021-04-06,140.7,55.79,6131.33984375,4073.93994140625
2021-04-07,141.57,56.52,6130.66015625,4079.949951171875
2021-04-08,141.84,56.6,6165.72021484375,4097.169921875
2021-04-09,141.82,56.43,6169.41015625,4128.7998046875
2021-04-12,140.56,55.91,6161.68017578125,4127.990234375
2021-04-13,141.24,56.01,6184.10009765625,4141.58984375
2021-04-14,142.42,55.87,6208.580078125,4124.66015625
2021-04-15,143.72,56.19,6234.14013671875,4170.419921875
2021-04-16,144.32,56.15,6287.06982421875,4185.47021484375
2021-04-19,144.7,56.11,6296.68994140625,4163.259765625
